MOT;Occurence;Frequence
immortel;2;2.2366110868811577E-5
tir;3;3.3549166303217366E-5
hallucinations;2;2.2366110868811577E-5
mieux;100;0.0011183055434405788
considérables;5;5.591527717202894E-5
glace;10;1.1183055434405789E-4
rome;8;8.946444347524631E-5
adoration;2;2.2366110868811577E-5
résolue;5;5.591527717202894E-5
mesurent;2;2.2366110868811577E-5
familles;2;2.2366110868811577E-5
sang;76;8.499122130148399E-4
résolus;7;7.828138804084051E-5
spécialistes;7;7.828138804084051E-5
résolut;2;2.2366110868811577E-5
meurtres;8;8.946444347524631E-5
dégâts;4;4.4732221737623154E-5
poèmes;3;3.3549166303217366E-5
villageois;5;5.591527717202894E-5
anonyme;3;3.3549166303217366E-5
requise;2;2.2366110868811577E-5
remerciant;2;2.2366110868811577E-5
représentation;9;1.0064749890965209E-4
fallut;11;1.2301360977846367E-4
arrivaient;2;2.2366110868811577E-5
constatés;3;3.3549166303217366E-5
terminé;5;5.591527717202894E-5
compréhensible;6;6.709833260643473E-5
monstre;39;4.361391619418257E-4
constater;14;1.5656277608168103E-4
croissant;4;4.4732221737623154E-5
pendaient;2;2.2366110868811577E-5
membres;51;5.703358271546952E-4
hauteur;17;1.901119423848984E-4
dizaines;8;8.946444347524631E-5
devenait;10;1.1183055434405789E-4
enquis;3;3.3549166303217366E-5
marchands;2;2.2366110868811577E-5
actuelle;15;1.6774583151608682E-4
essayai;2;2.2366110868811577E-5
antisémitisme;7;7.828138804084051E-5
enfuir;2;2.2366110868811577E-5
voudraient;2;2.2366110868811577E-5
permit;7;7.828138804084051E-5
permis;9;1.0064749890965209E-4
grégaire;4;4.4732221737623154E-5
passant;2;2.2366110868811577E-5
artistes;19;2.1247805325370998E-4
blocs;18;2.0129499781930418E-4
assiège;2;2.2366110868811577E-5
désespérer;3;3.3549166303217366E-5
emprunté;4;4.4732221737623154E-5
unissent;2;2.2366110868811577E-5
hâte;12;1.3419666521286946E-4
flot;12;1.3419666521286946E-4
successeurs;3;3.3549166303217366E-5
convaincus;3;3.3549166303217366E-5
clé;8;8.946444347524631E-5
réformes;5;5.591527717202894E-5
corde;2;2.2366110868811577E-5
communautés;4;4.4732221737623154E-5
actuel;11;1.2301360977846367E-4
gestes;3;3.3549166303217366E-5
foudre;3;3.3549166303217366E-5
sydney;29;3.243086075977679E-4
souci;18;2.0129499781930418E-4
presser;2;2.2366110868811577E-5
attente;7;7.828138804084051E-5
soigné;4;4.4732221737623154E-5
savoir;58;6.486172151955357E-4
accablement;2;2.2366110868811577E-5
johansen;135;0.0015097124836447814
protection;14;1.5656277608168103E-4
destinait;2;2.2366110868811577E-5
avril;66;7.38081658670782E-4
conservateurs;5;5.591527717202894E-5
mosaïque;2;2.2366110868811577E-5
réelle;10;1.1183055434405789E-4
comprenne;2;2.2366110868811577E-5
créées;2;2.2366110868811577E-5
tôt;38;4.2495610650741995E-4
meneurs;6;6.709833260643473E-5
pressèrent;2;2.2366110868811577E-5
harmonie;2;2.2366110868811577E-5
recouverts;3;3.3549166303217366E-5
mauvaise;17;1.901119423848984E-4
pouvons;4;4.4732221737623154E-5
morrison;5;5.591527717202894E-5
coordonné;2;2.2366110868811577E-5
étude;15;1.6774583151608682E-4
question;125;0.0013978819293007235
haut;53;5.927019380235068E-4
surhumaine;2;2.2366110868811577E-5
humainement;2;2.2366110868811577E-5
poète;4;4.4732221737623154E-5
fraternité;2;2.2366110868811577E-5
convaincre;13;1.4537972064727526E-4
firmament;3;3.3549166303217366E-5
balayeurs;2;2.2366110868811577E-5
tortures;4;4.4732221737623154E-5
proprement;11;1.2301360977846367E-4
renoncer;12;1.3419666521286946E-4
regard;14;1.5656277608168103E-4
pangermaniste;31;3.4667471846657946E-4
ailes;43;4.808713836794489E-4
désespérée;4;4.4732221737623154E-5
mettra;4;4.4732221737623154E-5
réponde;2;2.2366110868811577E-5
basculer;2;2.2366110868811577E-5
cou;3;3.3549166303217366E-5
adopta;2;2.2366110868811577E-5
retraite;6;6.709833260643473E-5
grâces;3;3.3549166303217366E-5
mettre;75;8.387291575804341E-4
adopté;3;3.3549166303217366E-5
similigravure;2;2.2366110868811577E-5
académie;5;5.591527717202894E-5
intelligemment;3;3.3549166303217366E-5
séparément;4;4.4732221737623154E-5
harcelés;2;2.2366110868811577E-5
longitude;15;1.6774583151608682E-4
huttes;4;4.4732221737623154E-5
poursuivent;6;6.709833260643473E-5
initiale;4;4.4732221737623154E-5
quarante;9;1.0064749890965209E-4
oublient;2;2.2366110868811577E-5
baissée;2;2.2366110868811577E-5
culturels;3;3.3549166303217366E-5
meilleures;9;1.0064749890965209E-4
antiparlementaire;2;2.2366110868811577E-5
voient;5;5.591527717202894E-5
bandits;2;2.2366110868811577E-5
obligation;7;7.828138804084051E-5
pacifisme;6;6.709833260643473E-5
goût;6;6.709833260643473E-5
roue;5;5.591527717202894E-5
fréquemment;14;1.5656277608168103E-4
religieuses;18;2.0129499781930418E-4
nourricier;3;3.3549166303217366E-5
faites;16;1.7892888695049262E-4
immenses;17;1.901119423848984E-4
céder;4;4.4732221737623154E-5
follement;3;3.3549166303217366E-5
effective;4;4.4732221737623154E-5
mémoires;4;4.4732221737623154E-5
racaille;3;3.3549166303217366E-5
conseiller;5;5.591527717202894E-5
persistante;5;5.591527717202894E-5
équipage;31;3.4667471846657946E-4
adressaient;4;4.4732221737623154E-5
pire;21;2.3484416412252157E-4
effrayante;4;4.4732221737623154E-5
laborieux;3;3.3549166303217366E-5
bruits;10;1.1183055434405789E-4
cri;15;1.6774583151608682E-4
sortent;2;2.2366110868811577E-5
direction;39;4.361391619418257E-4
croit-on;2;2.2366110868811577E-5
enclin;4;4.4732221737623154E-5
totale;11;1.2301360977846367E-4
cru;6;6.709833260643473E-5
inconscient;4;4.4732221737623154E-5
frazer;5;5.591527717202894E-5
tablette;7;7.828138804084051E-5
impatience;6;6.709833260643473E-5
socialisme;3;3.3549166303217366E-5
productions;4;4.4732221737623154E-5
appui;12;1.3419666521286946E-4
nombreux;36;4.0258999563860836E-4
effaçait;2;2.2366110868811577E-5
tué;3;3.3549166303217366E-5
concert;2;2.2366110868811577E-5
directe;4;4.4732221737623154E-5
échangeaient;2;2.2366110868811577E-5
élément;19;2.1247805325370998E-4
capacités;10;1.1183055434405789E-4
supérieurs;5;5.591527717202894E-5
épargnant;2;2.2366110868811577E-5
hélice;3;3.3549166303217366E-5
faciaux;4;4.4732221737623154E-5
probable;3;3.3549166303217366E-5
exécuteur;6;6.709833260643473E-5
inoffensif;2;2.2366110868811577E-5
supérieure;22;2.4602721955692733E-4
forment;5;5.591527717202894E-5
optimisme;5;5.591527717202894E-5
apprendraient;2;2.2366110868811577E-5
directs;3;3.3549166303217366E-5
connaîtrai;3;3.3549166303217366E-5
territoire;22;2.4602721955692733E-4
maintes;12;1.3419666521286946E-4
paisiblement;2;2.2366110868811577E-5
révélations;4;4.4732221737623154E-5
beuglaient;3;3.3549166303217366E-5
instinctive;2;2.2366110868811577E-5
conférer;6;6.709833260643473E-5
odieuse;2;2.2366110868811577E-5
persévérante;2;2.2366110868811577E-5
création;16;1.7892888695049262E-4
inclination;3;3.3549166303217366E-5
fourbes;2;2.2366110868811577E-5
répondaient;4;4.4732221737623154E-5
présager;2;2.2366110868811577E-5
peut-être;53;5.927019380235068E-4
incarner;2;2.2366110868811577E-5
boutiquiers;2;2.2366110868811577E-5
déchiraient;2;2.2366110868811577E-5
services;8;8.946444347524631E-5
souciait;2;2.2366110868811577E-5
obscurantisme;2;2.2366110868811577E-5
sottise;11;1.2301360977846367E-4
arrivistes;2;2.2366110868811577E-5
torture;7;7.828138804084051E-5
veuve;8;8.946444347524631E-5
redouté;4;4.4732221737623154E-5
boursouflée;2;2.2366110868811577E-5
cabinet;7;7.828138804084051E-5
premièrement;2;2.2366110868811577E-5
privilèges;3;3.3549166303217366E-5
prendre;74;8.275461021460284E-4
étroitement;6;6.709833260643473E-5
tyr;5;5.591527717202894E-5
pacifiste;16;1.7892888695049262E-4
définie;3;3.3549166303217366E-5
déception;3;3.3549166303217366E-5
épine;2;2.2366110868811577E-5
entreprendre;11;1.2301360977846367E-4
reculés;7;7.828138804084051E-5
reculer;3;3.3549166303217366E-5
marxistes;16;1.7892888695049262E-4
stabilité;3;3.3549166303217366E-5
amende;3;3.3549166303217366E-5
suites;13;1.4537972064727526E-4
cruauté;5;5.591527717202894E-5
accidentelle;6;6.709833260643473E-5
regardant;4;4.4732221737623154E-5
désastreux;5;5.591527717202894E-5
ancestral;2;2.2366110868811577E-5
pitoyables;2;2.2366110868811577E-5
familiarité;2;2.2366110868811577E-5
étendu;5;5.591527717202894E-5
pénétrer;8;8.946444347524631E-5
énergiquement;3;3.3549166303217366E-5
mystique;3;3.3549166303217366E-5
concept;3;3.3549166303217366E-5
annonçait;4;4.4732221737623154E-5
appelaient;2;2.2366110868811577E-5
fêtes;4;4.4732221737623154E-5
méritoire;2;2.2366110868811577E-5
éternelles;2;2.2366110868811577E-5
polémique;3;3.3549166303217366E-5
poussera;2;2.2366110868811577E-5
intellectuel;18;2.0129499781930418E-4
réclame;3;3.3549166303217366E-5
appellerait;4;4.4732221737623154E-5
attendu;7;7.828138804084051E-5
idole;51;5.703358271546952E-4
socialiste;8;8.946444347524631E-5
paisible;3;3.3549166303217366E-5
désespérance;2;2.2366110868811577E-5
maritimes;3;3.3549166303217366E-5
observées;3;3.3549166303217366E-5
affirmations;5;5.591527717202894E-5
nette;4;4.4732221737623154E-5
réseau;9;1.0064749890965209E-4
hôtels;3;3.3549166303217366E-5
amenés;2;2.2366110868811577E-5
anglais;32;3.5785777390098523E-4
amener;16;1.7892888695049262E-4
finance;8;8.946444347524631E-5
blasphématoire;4;4.4732221737623154E-5
demanda;6;6.709833260643473E-5
docteur;13;1.4537972064727526E-4
mécontentement;11;1.2301360977846367E-4
obstacles;3;3.3549166303217366E-5
façade;8;8.946444347524631E-5
comprit;7;7.828138804084051E-5
compris;29;3.243086075977679E-4
consistait;6;6.709833260643473E-5
néanmoins;28;3.1312555216336205E-4
novembre;16;1.7892888695049262E-4
demande;26;2.907594412945505E-4
hôpital;12;1.3419666521286946E-4
comprendre;58;6.486172151955357E-4
essentiels;4;4.4732221737623154E-5
tam-tams;10;1.1183055434405789E-4
assurément;3;3.3549166303217366E-5
imaginer;20;2.2366110868811577E-4
comprendra;5;5.591527717202894E-5
dérogations;2;2.2366110868811577E-5
domaines;15;1.6774583151608682E-4
suscitèrent;2;2.2366110868811577E-5
dates;12;1.3419666521286946E-4
rapproche;5;5.591527717202894E-5
dater;5;5.591527717202894E-5
familiale;4;4.4732221737623154E-5
faiseurs;3;3.3549166303217366E-5
revenir;8;8.946444347524631E-5
traîné;5;5.591527717202894E-5
œuvres;20;2.2366110868811577E-4
patibulaire;3;3.3549166303217366E-5
francfort;2;2.2366110868811577E-5
chaude;2;2.2366110868811577E-5
ringstrasse;4;4.4732221737623154E-5
compétence;4;4.4732221737623154E-5
assura;4;4.4732221737623154E-5
possèdent;3;3.3549166303217366E-5
assuré;6;6.709833260643473E-5
émergent;3;3.3549166303217366E-5
passe-passe;2;2.2366110868811577E-5
affreux;7;7.828138804084051E-5
obscurcit;2;2.2366110868811577E-5
réformateurs;2;2.2366110868811577E-5
scientifiques;5;5.591527717202894E-5
dangereuse;8;8.946444347524631E-5
dissoudre;2;2.2366110868811577E-5
dit-il;8;8.946444347524631E-5
ajouter;11;1.2301360977846367E-4
élargi;2;2.2366110868811577E-5
redoutables;4;4.4732221737623154E-5
naissant;2;2.2366110868811577E-5
secondaire;6;6.709833260643473E-5
possession;14;1.5656277608168103E-4
engageait;2;2.2366110868811577E-5
faiblissent;2;2.2366110868811577E-5
ajoutez;6;6.709833260643473E-5
tels;23;2.5721027499133316E-4
traitaient;5;5.591527717202894E-5
italie;10;1.1183055434405789E-4
vieillard;6;6.709833260643473E-5
éventuel;2;2.2366110868811577E-5
das;2;2.2366110868811577E-5
frick;3;3.3549166303217366E-5
extase;6;6.709833260643473E-5
survint;3;3.3549166303217366E-5
honteusement;2;2.2366110868811577E-5
attachement;4;4.4732221737623154E-5
nièrent;5;5.591527717202894E-5
millénaires;4;4.4732221737623154E-5
reconquérir;3;3.3549166303217366E-5
island;12;1.3419666521286946E-4
sensiblement;7;7.828138804084051E-5
indistincte;2;2.2366110868811577E-5
constatai;6;6.709833260643473E-5
ressortir;7;7.828138804084051E-5
domine;6;6.709833260643473E-5
corps;95;0.0010623902662685498
réponse;22;2.4602721955692733E-4
redites;2;2.2366110868811577E-5
aperçus;9;1.0064749890965209E-4
japon;6;6.709833260643473E-5
montagne;8;8.946444347524631E-5
asile;2;2.2366110868811577E-5
craint;7;7.828138804084051E-5
crains;8;8.946444347524631E-5
impressionnés;2;2.2366110868811577E-5
endroit;19;2.1247805325370998E-4
catholicisme;2;2.2366110868811577E-5
socle;6;6.709833260643473E-5
fuyions;3;3.3549166303217366E-5
actualité;4;4.4732221737623154E-5
escalier;5;5.591527717202894E-5
interdit;3;3.3549166303217366E-5
tenu;12;1.3419666521286946E-4
vains;2;2.2366110868811577E-5
interlocuteur;3;3.3549166303217366E-5
désarmement;2;2.2366110868811577E-5
tend;7;7.828138804084051E-5
obéir;5;5.591527717202894E-5
dix-neuvième;2;2.2366110868811577E-5
cthulhur;10;1.1183055434405789E-4
spécimen;5;5.591527717202894E-5
obéit;2;2.2366110868811577E-5
ouvrir;22;2.4602721955692733E-4
introduction;3;3.3549166303217366E-5
iberville;5;5.591527717202894E-5
ouvrit;4;4.4732221737623154E-5
utopie;2;2.2366110868811577E-5
comprendront;2;2.2366110868811577E-5
correspondance;8;8.946444347524631E-5
insidieuses;2;2.2366110868811577E-5
inéluctable;2;2.2366110868811577E-5
lectures;6;6.709833260643473E-5
concentration;5;5.591527717202894E-5
congrès;17;1.901119423848984E-4
déterminées;9;1.0064749890965209E-4
est-à-dire;38;4.2495610650741995E-4
avant-guerre;14;1.5656277608168103E-4
confession;9;1.0064749890965209E-4
sérieuse;12;1.3419666521286946E-4
vaine;9;1.0064749890965209E-4
internationaux;5;5.591527717202894E-5
dissimulait;6;6.709833260643473E-5
surprenant;2;2.2366110868811577E-5
crise;8;8.946444347524631E-5
538supportable;3;3.3549166303217366E-5
orateurs;4;4.4732221737623154E-5
insuffisante;6;6.709833260643473E-5
bourgeoise;4;4.4732221737623154E-5
monolithes;14;1.5656277608168103E-4
der;2;2.2366110868811577E-5
ivre;2;2.2366110868811577E-5
perdues;4;4.4732221737623154E-5
paradis;2;2.2366110868811577E-5
longuement;4;4.4732221737623154E-5
moucheté;2;2.2366110868811577E-5
servitude;3;3.3549166303217366E-5
préjudices;2;2.2366110868811577E-5
apparition;6;6.709833260643473E-5
déraison;3;3.3549166303217366E-5
conquérants;2;2.2366110868811577E-5
parlaient;10;1.1183055434405789E-4
impact;2;2.2366110868811577E-5
espèce;35;3.914069402042026E-4
obtenus;6;6.709833260643473E-5
est-il;10;1.1183055434405789E-4
fumier;2;2.2366110868811577E-5
stade;3;3.3549166303217366E-5
rapportait;6;6.709833260643473E-5
exalte;2;2.2366110868811577E-5
indépendance;26;2.907594412945505E-4
infidèle;2;2.2366110868811577E-5
tellement;14;1.5656277608168103E-4
confessaient;3;3.3549166303217366E-5
ceux-des-ailes-noires;2;2.2366110868811577E-5
paralysie;2;2.2366110868811577E-5
surprenante;4;4.4732221737623154E-5
attitude;49;5.479697162858836E-4
quinze;18;2.0129499781930418E-4
comparé;8;8.946444347524631E-5
dirigent;2;2.2366110868811577E-5
manœuvre;8;8.946444347524631E-5
journal;31;3.4667471846657946E-4
citations;5;5.591527717202894E-5
essaient;2;2.2366110868811577E-5
sentent;2;2.2366110868811577E-5
hôtel;6;6.709833260643473E-5
voudrait;4;4.4732221737623154E-5
voudrais;2;2.2366110868811577E-5
acquisition;4;4.4732221737623154E-5
deuxièmes;2;2.2366110868811577E-5
légèrement;2;2.2366110868811577E-5
harrer;4;4.4732221737623154E-5
jugements;4;4.4732221737623154E-5
demeurèrent;3;3.3549166303217366E-5
séisme;3;3.3549166303217366E-5
subjuguer;2;2.2366110868811577E-5
possible;71;7.93996935842811E-4
mettaient;6;6.709833260643473E-5
accorda;4;4.4732221737623154E-5
menait;4;4.4732221737623154E-5
déduisait;2;2.2366110868811577E-5
accordé;12;1.3419666521286946E-4
transportés;3;3.3549166303217366E-5
deviendra;3;3.3549166303217366E-5
menais;2;2.2366110868811577E-5
clairvoyance;2;2.2366110868811577E-5
incomparable;3;3.3549166303217366E-5
maximum;10;1.1183055434405789E-4
prières;5;5.591527717202894E-5
désert;4;4.4732221737623154E-5
apparut;16;1.7892888695049262E-4
apparus;3;3.3549166303217366E-5
appareiller;2;2.2366110868811577E-5
nues;3;3.3549166303217366E-5
reposent;6;6.709833260643473E-5
murray;5;5.591527717202894E-5
gibbeux;2;2.2366110868811577E-5
agrément;2;2.2366110868811577E-5
agréable;5;5.591527717202894E-5
dit;52;5.81518882589101E-4
divisions;4;4.4732221737623154E-5
dis;7;7.828138804084051E-5
groenlandaise;2;2.2366110868811577E-5
bavaroise;3;3.3549166303217366E-5
apparue;2;2.2366110868811577E-5
combien;42;4.6968832824504313E-4
demi-mesure;2;2.2366110868811577E-5
celui-là;9;1.0064749890965209E-4
vraiment;62;6.933494369331589E-4
tête;61;6.82166381498753E-4
creuse;3;3.3549166303217366E-5
exemples;7;7.828138804084051E-5
poupe;4;4.4732221737623154E-5
imperfection;2;2.2366110868811577E-5
objectivement;4;4.4732221737623154E-5
bondissaient;3;3.3549166303217366E-5
territoires;13;1.4537972064727526E-4
louisiane;16;1.7892888695049262E-4
originale;3;3.3549166303217366E-5
conviction;40;4.4732221737623154E-4
internationale;13;1.4537972064727526E-4
brown;5;5.591527717202894E-5
succès;91;0.0010176580445309267
bras;8;8.946444347524631E-5
allemand;203;0.002270160253184375
lumières;5;5.591527717202894E-5
doit-elle;2;2.2366110868811577E-5
sobre;2;2.2366110868811577E-5
propagation;3;3.3549166303217366E-5
langage;9;1.0064749890965209E-4
approchait;3;3.3549166303217366E-5
croulant;3;3.3549166303217366E-5
fonction;7;7.828138804084051E-5
poigne;2;2.2366110868811577E-5
final;5;5.591527717202894E-5
écart;2;2.2366110868811577E-5
pasteur;2;2.2366110868811577E-5
visages;2;2.2366110868811577E-5
géante;4;4.4732221737623154E-5
involontairement;2;2.2366110868811577E-5
négociable;2;2.2366110868811577E-5
occasion;45;5.032374945482604E-4
vertige;3;3.3549166303217366E-5
balayé;2;2.2366110868811577E-5
battues;2;2.2366110868811577E-5
demeurera;2;2.2366110868811577E-5
prière;3;3.3549166303217366E-5
journée;14;1.5656277608168103E-4
géants;3;3.3549166303217366E-5
aliénés;4;4.4732221737623154E-5
franco-allemande;2;2.2366110868811577E-5
encontre;6;6.709833260643473E-5
rapides;5;5.591527717202894E-5
essaiera;3;3.3549166303217366E-5
pâles;5;5.591527717202894E-5
mordre;2;2.2366110868811577E-5
inexplorée;2;2.2366110868811577E-5
ignore;2;2.2366110868811577E-5
supercherie;10;1.1183055434405789E-4
obtenue;3;3.3549166303217366E-5
thomas;10;1.1183055434405789E-4
ignominie;2;2.2366110868811577E-5
bref;6;6.709833260643473E-5
artillerie;2;2.2366110868811577E-5
chanceler;3;3.3549166303217366E-5
magique;4;4.4732221737623154E-5
partie;111;0.0012413191532190425
résumait;2;2.2366110868811577E-5
flotte;11;1.2301360977846367E-4
inapte;2;2.2366110868811577E-5
vestiges;7;7.828138804084051E-5
insignifiant;3;3.3549166303217366E-5
transportai;2;2.2366110868811577E-5
uni;3;3.3549166303217366E-5
bibliothèque;5;5.591527717202894E-5
partit;3;3.3549166303217366E-5
partis;47;5.256036054170721E-4
partir;18;2.0129499781930418E-4
majorités;4;4.4732221737623154E-5
fidèle;16;1.7892888695049262E-4
concerne;22;2.4602721955692733E-4
cachent;3;3.3549166303217366E-5
eichmann;2;2.2366110868811577E-5
funestes;4;4.4732221737623154E-5
qualifiée;2;2.2366110868811577E-5
angoisse;7;7.828138804084051E-5
bureaux;2;2.2366110868811577E-5
nuit;63;7.045324923675647E-4
remplissant;2;2.2366110868811577E-5
invincible;2;2.2366110868811577E-5
romaines;2;2.2366110868811577E-5
dix-sept;11;1.2301360977846367E-4
assombrissait;2;2.2366110868811577E-5
moutons;2;2.2366110868811577E-5
soulèvement;2;2.2366110868811577E-5
repérée;2;2.2366110868811577E-5
balance;5;5.591527717202894E-5
lâché;14;1.5656277608168103E-4
inutiles;2;2.2366110868811577E-5
latin;2;2.2366110868811577E-5
contenté;5;5.591527717202894E-5
jalousie;3;3.3549166303217366E-5
tolérait;2;2.2366110868811577E-5
sollicité;2;2.2366110868811577E-5
contenta;4;4.4732221737623154E-5
mirent;11;1.2301360977846367E-4
relatant;3;3.3549166303217366E-5
statue;11;1.2301360977846367E-4
menaça;2;2.2366110868811577E-5
menace;19;2.1247805325370998E-4
cuir;2;2.2366110868811577E-5
qualifiés;3;3.3549166303217366E-5
vérité;67;7.492647141051878E-4
qualifier;3;3.3549166303217366E-5
clapotis;3;3.3549166303217366E-5
doit-on;3;3.3549166303217366E-5
regardais;4;4.4732221737623154E-5
peut-on;8;8.946444347524631E-5
diffusion;2;2.2366110868811577E-5
bavards;10;1.1183055434405789E-4
don;4;4.4732221737623154E-5
bande;11;1.2301360977846367E-4
touché;8;8.946444347524631E-5
embarrassée;4;4.4732221737623154E-5
fainéants;2;2.2366110868811577E-5
dos;12;1.3419666521286946E-4
commise;3;3.3549166303217366E-5
pourtour;4;4.4732221737623154E-5
abomination;5;5.591527717202894E-5
appliquée;2;2.2366110868811577E-5
léthargique;3;3.3549166303217366E-5
capitales;2;2.2366110868811577E-5
restaient;5;5.591527717202894E-5
coalition;3;3.3549166303217366E-5
crime;9;1.0064749890965209E-4
lunes;2;2.2366110868811577E-5
déroutée;3;3.3549166303217366E-5
pâlir;4;4.4732221737623154E-5
appliquer;4;4.4732221737623154E-5
montèrent;5;5.591527717202894E-5
fondamentales;4;4.4732221737623154E-5
politicien;6;6.709833260643473E-5
précieuses;5;5.591527717202894E-5
est-on;2;2.2366110868811577E-5
entretiens;2;2.2366110868811577E-5
spécimens;6;6.709833260643473E-5
demeurent;2;2.2366110868811577E-5
lourds;8;8.946444347524631E-5
passagère;4;4.4732221737623154E-5
social-démocratie;33;3.69040829335391E-4
exercice;6;6.709833260643473E-5
revenait;6;6.709833260643473E-5
comparable;3;3.3549166303217366E-5
lourde;6;6.709833260643473E-5
luttait;2;2.2366110868811577E-5
peut-il;2;2.2366110868811577E-5
strié;2;2.2366110868811577E-5
effrayés;2;2.2366110868811577E-5
main;46;5.144205499826663E-4
imméritée;2;2.2366110868811577E-5
donovan;15;1.6774583151608682E-4
proches;2;2.2366110868811577E-5
éhontée;2;2.2366110868811577E-5
opposer;6;6.709833260643473E-5
revenue;2;2.2366110868811577E-5
palpa;2;2.2366110868811577E-5
mange;2;2.2366110868811577E-5
adoptait;3;3.3549166303217366E-5
effrayantes;3;3.3549166303217366E-5
commun;17;1.901119423848984E-4
crédit;3;3.3549166303217366E-5
juive;26;2.907594412945505E-4
détruit;13;1.4537972064727526E-4
monopole;2;2.2366110868811577E-5
flasques;3;3.3549166303217366E-5
fermé;9;1.0064749890965209E-4
passionné;3;3.3549166303217366E-5
inconnus;5;5.591527717202894E-5
inconnue;25;2.795763858601447E-4
crier;8;8.946444347524631E-5
diminué;3;3.3549166303217366E-5
relatait;6;6.709833260643473E-5
obtenir;21;2.3484416412252157E-4
baie;4;4.4732221737623154E-5
disposé;13;1.4537972064727526E-4
adorateurs;20;2.2366110868811577E-4
fidélité;5;5.591527717202894E-5
disposa;2;2.2366110868811577E-5
informations;4;4.4732221737623154E-5
originaux;3;3.3549166303217366E-5
dansaient;6;6.709833260643473E-5
devoir;64;7.157155478019705E-4
transformer;9;1.0064749890965209E-4
extérieures;10;1.1183055434405789E-4
suffisante;4;4.4732221737623154E-5
cinémas;2;2.2366110868811577E-5
mondial;4;4.4732221737623154E-5
loin;42;4.6968832824504313E-4
manie;3;3.3549166303217366E-5
intensité;12;1.3419666521286946E-4
répréhensible;2;2.2366110868811577E-5
manuscrit;57;6.3743415976113E-4
lois;31;3.4667471846657946E-4
social-démocrates;3;3.3549166303217366E-5
celui-ci;24;2.683933304257389E-4
opposée;6;6.709833260643473E-5
cinquante-deux;2;2.2366110868811577E-5
récente;5;5.591527717202894E-5
volksblatt;2;2.2366110868811577E-5
banal;3;3.3549166303217366E-5
secteur;4;4.4732221737623154E-5
chauve-souris;8;8.946444347524631E-5
tendirent;3;3.3549166303217366E-5
due;3;3.3549166303217366E-5
décrivit;3;3.3549166303217366E-5
invention;5;5.591527717202894E-5
anime;4;4.4732221737623154E-5
enfers;2;2.2366110868811577E-5
durent;9;1.0064749890965209E-4
dur;13;1.4537972064727526E-4
dut;16;1.7892888695049262E-4
insignifiante;3;3.3549166303217366E-5
dus;12;1.3419666521286946E-4
là-bas;3;3.3549166303217366E-5
laisser;33;3.69040829335391E-4
insuffisance;11;1.2301360977846367E-4
préjugés;4;4.4732221737623154E-5
commis;8;8.946444347524631E-5
